id,transliteration,translation
33,kà-ru-um S(-ma-lâ,kârum Simala
34,kà-ru-um Si-ma-iâ,kârum Simala
35,ù-bar-tum šà Ku-bu-ur-na-at,wabartum of Kuburnat
36,wa-bar-tum šà Ku-bu-ur-na-at,wabartum of Kuburnat
37,um-ma Ah-sa-lim-ma,Thus (says) Ah-salim
38,a-na U-şur-i-tar X_0 En-na-nim qi-bi-ma,to Usur-sitar Y_0 Enna-Anum say (the following)
39,KÙ.BABBAR sa É kà-ri-im sa şi-ib-tim,the silver of the trading house of the interest
41,si-ib-tem ú-sa-hu-ru,the interest they have reduced
42,KÙ.BABBAR 16 tù-se-sa-a,silver sixteenfold sixteenths
43,X_1 X_0 KÙ.BABBAR sa Su-A-nim e-zi-ba-ku-ni,Y_1 Y_0 of silver which Su-Anum left behind
44,a-qá-ti I-ku-p-a ù Uxubiskum,as the share of Ikuppia and Uxubiskum
45,X_0 X_2 X_1 1/3 GIN sa DAM.GÀR sa a-ma-kam i-ba-si-ú,Y_0 Y_2 Y_1 9 1/3 shekels of the merchant which exist there
46,X_1 X_0 KÙ.BABBAR a-qá-ti-a,Y_1 Y_0 of silver as my share
47,X_0 1/3 GIN a-na am-ti-su sa Ù-xu-bi-is-ki-im,Y_0 1/3 shekels to his female slave of Uxubiskum
48,KÙ.BABBAR sa Puxur-A-sur sa-âs-qi-lâ,the silver of Puxur-Assur which is outstanding
49,a-di X_0 X_0 ri-ik-si ú-sé-ba-lâ-ku-nu-ti,within Y_0 Y_0 I will send (it) to you
50,a-na Set-si-a Ija-na-na ù U-şù-ur-sa-Istar qi-bi-ma,"To Setsia, Ijanana and Ushur-sa-Istar say"
51,um-ma dNIN. SUBUR-ba-ni-ma,Thus speaks Ilabrat-bani
52,15 GIN KU.GI ku-bur-si-num,15 shekels of gold sealed
53,7 GIN KU.GI sa âb-ni-su,7 shekels of gold of his making
54,a-na U-sur-sa-İstar e-zi-ib-ma,to Ushur-sa-Istar I left
55,ù té-er-tù-su X_0,and his Y_0 came to me
56,X_0 su-ut-ma 5 1/2 GiN.TA KU.GI-kâ a-di-in-ma,Y_0 he said: 5 1/2 shekels each of your gold I gave
57,2 X_1 X_0 GIN KU.BABBAR al-qi,2 Y_1 Y_0 shekel of silver I received
58,SA 15 GIN X_0 sa ki-ma diM-GAR âs-gûl si-ti KÛ.BABBAR,"of which 15 Y_0 to the one like Adad-rabi I gave, the remainder silver"
59,um-ma Su-Be-lam-ma,So speaks Sû-Bélum
60,a-na Aš-šur-i-itar qi-bi-ma,"to Assur-itar, saying"
61,30 X_0 AN.NA,30 Y_0 of tin
62,X_0 tâ-ad-mi-iq-tim,Y_0 the loan
63,a-di-<na->kum si-im AN.NA,"until now, the price of tin"
64,KU.BABBAR sá-li-bi4-kà,silver of your heart
65,KU.BABBAR 32 ma-na,silver 32 minas
66,sá Í-di-Ku-ba-am,of Idi-Kûbum
67,mi-is-lam AN.NA û mi-is-lam šu-ba-tim,half tin and half cloth
68,DUMU Su-Ku-bi4-im,son of Sû-Kûbum
69,DUMU A-šur-be-el-a-wa-tim,son of Assur-bél-awätim
70,um-ma Sî-ma-at-Sû-en,Thus Simat-Su'en
71,a-na U-sur-sa-Îstar qi-bi-ma,to Ušur-sa-Îstar speak
72,a-na sa É Li-ki,to that of the house of Li-ki
73,X_0 KU.BABBAR,Y_0 of silver
77,ki-ma ha-ra-na-tum,like roads
79,URUDU pi-ha-ru,copper merchant
89,a-na -şur-si-[Istar qi-bi-ma],to Uyur-si-Îstar say
90,um-ma İ-ku-pi-a-[ma],thus Iküppia
91,ta-dcs pu-ra-am um-ma a [-ta-ma],you sent a word thus you
92,KÙ.BABBAR 10 ma-na,silver 10 minas
93,11 1/3 ma-na X_0 1/2 GIN KÙ.BABBAR,11 1/3 minas Y_0 1/2 shekels silver
94,DUMU <E->na-Be-lim,son of Ena-Belim
95,DUMU E-ra-di,son of Eradi
96,DUMU Ga-zi-a,son of Gazi'a
97,DUMU Gus-zi-là-nim,son of Guzillänim
98,DUMU Ha-da-ta,son of Hadata
99,DUMU lia-lit-birim,son of Hil-abim
100,DUMU Ha-na-a,son of Hani
101,DUMU Ui-na-a,son of Hinâ
102,DUMU Hu-ra-şi,son of Huräi
103,DUMU I-da-a-a,son of İda
104,DUMU İ-ku-a,son of Ikua
105,DUMU i-li-a,son of Ilia
106,DUMU İm-gis,son of Imgi
107,DUMU İp-bu-ri-im,son of İptjurim
108,DUMU Kà-za-ak-şi-li,son of Kazak-şilli
109,DUMU Ku-lu-ma-a,son of Kullumâ
110,DUMU UH.ME éa Sû-en,son of kumrim éa Su'en
111,DUMU Ku-ra-ra,son of Kurara
112,DUMU Ku-ta-a,son of Kutâ
113,DUMU La-li-im,son of Lali'im
114,DUMU Ma-nu-ki A-éur,son of Mannu-ki Aééur
115,X_0 Pu-éu-ke-en,Y_0 of Pûéu-ken
116,ma-ru-fi Pu-gu-ke-en,son of Pûéu-ken
117,DUMU MAN A-na,son of Puzur-Anna
118,DUMU MAN -A-gun,son of Puzur-Aééur
119,30 X_0 KÙ.BABBAR,30 Y_0 of silver
120,3 X_0 KÙ.BABBAR,3 Y_0 of silver
121,ni-is-ha-turn i-ni-is-ha-ma,they contested
122,Da-na-A-sur DUMU ga-al ma-hi-im,Dana-Assur son of the merchant
124,um-ma su-ut-ma,saying thus
126,um-ma ga-lim-A-sur-ma,Salim-Assur said
127,mi-nam a-na X_1 X_0 ku-a-ti,Why to Y_1 Y_0 and you
129,um-ma Da-na-A-sur-ma,Dana-Assur said
130,sa ki-ma a-bi-a is-pu-ru-ni,as my father wrote to me
131,X_0 iu-nu-ma,Y_0 said
132,ia i-na Za-al-pa,in Zalpa
133,ha-al-qzl-ni lâ ia tâm-kà-ar,"were lost, we did not find them"
134,a-bi-a TITG fil-ba-ti,my father in the house
135,ku-a-i-tum ha-al-qzé,were lost
136,um-ma Sa-lim-A-sur-ma ku-nu-uk,Salim-Assur said: sealed
137,nik-nu-uk-ma i-na wa-ar-ki-tim,I sealed it afterwards
139,um-ma Sa-lim-A-sur-ma,Salim-Assur said
140,a-ma-ld ia ta-qi-pd-ni,you do not give to me
141,i-na Za-al pd ha-al qt,in Zalpa were lost
142,A-mur-dUTU DUMU Za-li-ti,Amur-Shamash son of Zaliti
143,it-ru um-ma Da-na-A-sur-ma,"returned, Dana-Assur said"
144,A-nu-ti ba TIJG sû-ba-ti,Anuti in the house
145,Id X_0 É A-mur-dUTU,to Y_0 house of Amur-Shamash
146,DUMU Za-li-ti ba-al,son of Zaliti
147,qd-du-um sa kà-şa-ri-im,fine of the kaşarum
148,um-ma Puzur4-Sû-ens,Thus (speaks) Puzur-Suen
149,a-na I-na-a of-bi-ma,to Innä'a as follows
150,1/3 ma-na 5 GfN KU.BABBAR X_0 tup-pd-am,1/3 mina 5 shekels silver Y_0 a tablet
151,sa šu-bu-ul DUMU Za-li-a,which Shubu'il son of Zali'a
152,X_1 X_0 Šu-Be-lûm na-di-a-kum,Y_1 Y_0 / Šu-Belum has brought
153,X_0 pi-kà / i-ta-na-di-am,Y_0 your mouth delivered
154,KU.BABBAR a-na-ku a-ma-qal-su / lâ En-um-A-sur,The silver - I will weigh against it En-um-Assur
157,X_0 X_0 X_0 Ku.BABBAR,Y_0 Y_0 Y_0 of silver
158,DUMU gu-Ku-bi-im,son of Gukubbum
159,a-su-mi DUMU gu-ki-tim,the name of the son of Gukittum
162,X_0 qi-ib-tim,Y_0 the utterance
163,it En-um-A-Sûr,and Enum-Ashur
164,a-na I-li-a,to Ilia
166,X_0 e-ld-i-su,Y_0 his fields
167,is-tù u4-mi-im,one day
168,a-na 20 ha-am-sa-tim,for 20 fifths
169,um-ma a-tù-nu-ma,saying thus
173,"DUMU ,u-ki-tim",son of Sukkum
174,sa ku-nu-ki-su,of his seal
175,um-ma Śa-lim-a-hu-um-ma,Thus spoke Šalim-ahu:
176,1/3 ma-na X_0 GÎN KÙ.BABBAR,1/3 mina Y_0 shekels of silver
177,i-gu X_0 ma-na-um 12 GÎN,is Y_0 to 1 mina 12 shekels
178,1/2 X_0 KÙ.BABBAR,1/2 Y_0 of silver
179,KÙ.BABBAR ti-ta-ar-ma,silver shall be returned
180,a-gar li-bi-gu,without his consent
181,um-ma ga-lim-a-hu-um-ma,Thus says Salim-ahum
182,a-na Pu-su-ke-en X_0 Dan-A-stir,to Pusu-ken Y_0 Dan-Assur
183,X_0 u4-mi-im sa tup-pâ-am,Y_0 the day of the tablet
184,ta-sa-me-i 20 X_0 KÙ.BABBAR,you will Y_0 20 minas of silver
185,1 GÛ KÙ.BABBAR,1 talent of silver
186,û a-na-ku,and I
187,la-di-ma a-ii-mi-im,on the day
188,ta-sa-pd ra-ni,you hear
191,a-na sa ki-ma i-a-t: La-li-a X_0 Nu-ùh-sa-tim,To those like myself: Lalia Y_0 Nuhsatum
192,um-ma En-um-A-sùr-ma,Thus says Ennum-Assur
193,i-na hu-sa-li-im X_0 X_0 X_0 up-pé-e,In the Y_0 Y_0 Y_0 tablets
194,tup-pé-e a-ni-û-tim me-eh-ri-su-nu,These tablets opposite to them
195,i-na mas-kâ-nim SIG5 / u-uk-na-ma,In good judgment we have established
196,a-na DUMU um-mi-a-nim X_0 / p:-iq-da-su-nu-ma,To the son Y_0 the reliable craftsman we entrusted them
197,a-na X_0 lu-sa-li-ma-su-nu,To Y_0 city we will send them
198,4 GI 40 X_0 Ku.BABBAR,4 talents 40 Y_0 of silver
209,lâ i-di-nam,did not know
211,lâ i-mu-a,he did not bring
212,a-na nu-i-e,for interest
215,X_0 šá-bi-im,Y_0 the army
218,a-na Dan-A-sùr qi-bi-ma,Say to Dan-Assur
219,um-ma En-um-A-sar-ma,thus says Ennum-Assur
220,25 X_0 KÙ.BABBAR is-tù Pu-ru-us-ha-tim ub-lu-ni-su-ma,25 Y_0 of silver I brought from Purushattum
221,i-ku-nu-ki-su-ma X_0 1/2 ma-na KÙ.BABBAR,he Y_0 (it) and 9 1/2 minas of silver
222,a-di -iu-nu-ma X_0 X_0 né-pz-si-im sa ku-nu-ki-a,up to Y_0 Y_0 into the account of the sealed (amount)
223,a-di -gu sUNiGiN 36 1/2 X_0 KÙ.BABBAR,total 36 1/2 minas of Y_0
224,Ku-lu-ma-a na-di-a-kum,Kulimä'a has given to you
225,a-na eu-ma-a ha-bu-ld-ku-ni,to Summâ'a has been good
226,X_0 eu-ma-a su-q71-ul-ma ù na-ds pè-er-tâm,Y_0 Summâ'a I packed you with the following words
227,sa eu-ma-a bi4-lam-ma,of Summâ'a the price
228,X_0 X_0 1/3 ma-na AN.NA,Y_0 Y_0 mine tin
230,a-na Id-na-a La-qé-ep,to Idnaa Laqep
231,um-ma A-bi-lâ-ma,thus speaks Abila
234,um-ma Su-A-sûr-ma,Thus spoke Su-Assur
235,a-na Puzur-A-sûr,To Puzur-Assur
236,ANsE kib-f-psum,a donkey with a kib-f-psum-load
239,DUB šâ-am i-na qá-nu-e la-wi-a-ma,wrap the tablet in reed
241,TUG id-wi,textiles have been wrapped
242,TUG.HI.A la-wi-ti,wrapped textiles
243,i-na lu-gul-tim,From the merchandise
244,sa sé-ep Í-li-as-rá-ni,transported by Íli-asranni
245,6 1/3 X_0 AN.NA it 1/2 TÛG,6 1/3 Y_0 of tin and 1/2 textile
246,X_0 dNIN.ŠUBUR-ba-ni e-ta-lu-tum,Y_0 under the custody of Ílabrâtbâni
247,e-pu-us-ma hu-uq-li,He acted high-handedly and broke open my suglum
248,ip-lù-ur-ma AN.NA-ki il-qi,and took my tin
249,a-pu-uh a-wi-lim sa-ri-im,Like a criminal
250,X_0 AN.NA i-a-am iš-té-qé,Y_0 himself took my own tin
251,17 ma-na AN.NA i-mu-ta-tim X_0 le-qé,take 17 minas of Y_0 from the half-pack with our seals
257,i-na sà-nu-qi-im,when checking
258,KÙ . BABBAR §étu ina 5 mana I mana 1/2 mana X_0 1/3 mana ina NA4. HI . A NIG . sU bii ja asqulma 2 GIN KÙ . BABBAR imti,"but when I checked (the weight of ) that silver by Y_0 of weights of 5, 1, 1/2 and 1/3 mina, belonging to my lord, it was 2 shekels short"
259,X_1 X_0 gdm-,Y_1 Y_0 any time to the merchant
261,li-t2 SIG5,liti-silver of good quality
264,a-sé-er ma-na-im,shekel of silver
267,a-şé-er ma-na-im sa É X_0,shekel of refined silver
268,ma-na Kù . BABBAR,minas of silver
271,wdbil tup im sût tamkârum,the owner of (lit.: anyone bearing) the deed is the creditor
272,sa mi-sa-al KÙ.BABBAR TÛG.HI.A sa mi-sa-al KÙ.BABBAR AN.NA X_0 a-me-er e-ni-ku sa ba-lâ-ti-su li-is-a-ma,"let him buy for half of the silver Y_0 for half of the silver tin, according to his own choice, in such a way that he can make profit"
273,a-ma-kam si-ma-am sa a-lim sa mi-sdl KÙ.BABBAR Ji-ni TÛG X_0 qá-ab-li-ti-tim tu sa mi-sdl KÙ.BABBAR AN.NA si-ma-am wa-as-ma-am sa ba-lâ-ti-su sa-ma-ninim,"buy over there, as purchases in the City, for Y_0 of our silver kutcnükutānum textiles of medium quality and for half of the silver tin —a fair purchase which allows him a profit"
274,sa mi-is-lim AN.NA sa mi-is-lim TÛG.HI.A SIG5-tim ù tár-di-if-tim li-is-u-mu-ma,"let them buy for half (of the silver and gold, mentioned in 1.6f.) tin and for half of it textiles of the best and second quality"
275,si-ti KÙ.BABBAR-kà X_0 té-ey-ti-kà mi-is-lam AN.NA mi-is-lam TÛG.HI.A ni-is-<a>-ma A i-ra-di-a-kum,"as for Y_0 rest of your silver, according to your instruction we bought for half of it tin and for half of it textiles, which A is bringing to you"
282,a-na li-tab-si-a,to dress myself in
283,a-na TtG . HI . A sa li-tab-§i-a,to buy textiles to dress myself
286,a-na Wa-qá-ar-tim qi-bi-ma,Say unto Waqartum:
287,I X_0 KÙ.BABBAR ni-is-ha-s[û],"I Y_0 of silver, its tax added,"
288,DIRIG a-bu,"its duties paid for,"
289,X_0 A-kur i-di na-dâ-a-ki-jim,Y_0 is bringing you under my seal.
290,şi-ba-tâm qà-at-na-am,"The fine textile,"
291,sa tù-sé-bi-li-ni,which you sent me
292,sa ki-ma su-wa-ti ee-si-ma is-ti A-sur i-di sé-bi-li-ma,"keep producing similar textiles and send (them) to me with Aggur-idi,"
293,1/2 X_0 KÙ.BABBAR lu-šu-bi-lá-ki-im,and Y_0 will send you 1/2 mina of silver (apiece).
294,sa şu-ba-tim pà-na-am ii-té-na-ma li-im-su-du,Let them comb one side of the textile;
295,la i-qà-tù su-su,they should not shear it;
296,su-tù-su X_0 ma-da-at i-sé-er pà-ni-im,its Y_0 should be close.
297,şu-ba-tim sa tù-sé-bi-li-ni a-dù-tàm I ma-na TA ra-di-i-ma X_0 qà-at-nu,"Compared with the previous textile, which you sent Y_0 process I mina of wool extra (in) each (piece), but keep them thin!"
298,pà-na-am sa-ni-a-am i-li-la li-im-su-du,The other side one should comb slightly .
299,su-ma sa-ar-tàm i-tu-âs-û X_0 ku-ta-nim,"If it is Y_0 hairy, one should shear (it) like a kutânum."
300,a-ba-ar-ni-a-am sa tù-sé-bi-li-ni,"The Abarnian textile, which you sent me"
301,la ta-tù-ri-ma sa ki-ma a-mi-im X_0 tù-sé-bi-li-im,a similar one you should Y_0 again send me.
302,su-ma té pi-si sa X_0 a-ma-kam al-ta-dá-su ee-si,"If you want to Y_0 one, make one like the one I wore there."
303,su-ma su-ba-ti qà-at-nu-tim la ta-kà-si-di a-sa-me-ma X_0 a-si-mi-im,"If you don't manage to make Y_0 textiles, as I hear there are plenty for sale over there."
304,ma-du sa-mi-ma é-bi-li-im ga-am-ra-am,Buy (them) for me and send (them) to me. A complete
305,ṣubâtum qatnum,fine textile
306,ṣubâtu qatnu,fine textile
307,ṣubâtu banû,new textile
308,ṣubâtu labiru,old textile
311,a-ai a-ta TÜG . xi . A,please convert the textiles
312,a-na Kù . BABBAR to-ir-ma,into silver
313,KÙ . BABBAR ku-nu-uk-ma,send me that silver under your seal
314,TÙG kà-ab-ta-am,heavy textile
315,X_0 X_1 ha-ra-ni-šu a-di-in-[s]u-um,Y_0 Y_1 time of his previous caravan trip
316,KÙ.BABBAR-i-su mi-ma it-la ub-lá-am,he has not yet brought me its proceeds in silver
317,i-nu-mi ki-sà-am tù-sé-ba-lá-ni SIG.HI.A šu-uk-nam sa-ṭip-tù-um X_0 a-limki wa-aq-ra-at,"when you send me the purse, Y_0 (add) some wool. Wool is expensive in the City"
318,X_0 a-limki SIG.HI.A wa-aq-ra-at,Y_0 the City wool is expensive
319,TÙG sa A-šur ma-lik i-na X_0 X_0 KÙ.BABBAR mi-in lá tù-sé-ba-lam,"as for the textile(s) which Y_0 Y_0 you previously, could not you send the silver?"
320,a-šu-mi TUG.HI.A X_0 to-cis-u-ra-ni,About the Y_0 that I did not send you the textiles about which you wrote
321,ld û-šé-bi-ld-ku-ni li-ba-kà,your heart should not be angry
322,ld i-ld-mi-in ki-ma sû-ha-ar-t[um],As the girl has become grown-up
323,i-ir-ta-bi-g-ni TUG is-té-en iL if-na,I had to make a pair of heavy textiles
324,kà-ab-tù-tim a-na na-ar-kà-ab-tim,for (placing) on the wagon
325,X_0 ni-ii bi-tim,Y_0 the members of the household
326,TUG.HI.A kuz us-té-bi-ld-kum,I did not manage to send you textiles
327,TUG.HI.A ma-id qá-ti i-kà-šu-du,"Whatever textiles I (lit. : ""my hand"") can manage"
328,TIG kam-sû-tim SIG5,kamsukutānum textiles of good quality
329,TIG ku-ta-ni,kutanukutānum textiles
330,TUG X_0 a-ši-ti-kà,textiles Y_0 your wife
331,ri-ik-sà-am ša hu-šu-ri X_0 a-ši-ti-kà,One bundle of Y_0 from your wife
332,X_4 s GIN KÙ.BABBAR ni-is-ha-sû 4 DIRIG 3a-du-a-sû as-bu 5 X_1 Dan A-šur na-d-a-ki-im 6 lu ŠI-im X_2 T FG X_0 X_0 T FG 3a qé(GA)-bit-ul-tim 7 ša a-na šé-ri-a tu-šé-bi-li-ni 8 KÙ.BABBAR-dš-kà gâm-ra-ki-im,"Y_4 mina 5 shekels of silver, taxes added extra, duties Y_1 for, Dan-Assur is bringing you. It Y_2 count as Y_0 Y_0 a few textiles of the consignment, which you sent to me. Herewith you have received all the silver you are entitled to (lit.: ""your silver has been fully paid to you"")."
333,šī-bu-ld-tim ki-a-ma tù-us-té-né-ba-lam,you indeed send me every time consignments (of silver)
334,TUG.HI.A sa i-k4-bu-f tù lâ us-té-né-ba-la-kum,textiles which are heavy
335,X_0 me-eh-ra-at TUG şi-ba-ti-a KÙ.BABBAR i-na sa i-qá-ti-kà-ma i-ba-§i-ti sé-bi4-lam,Y_0 good care to send me in exchange for my textiles silver from what you happen to have at hand
336,si-im TUG-ti-a mi-su-um lâ tù-§é-ba-lam,why don't you send the sale price of my textiles
337,a-na A-šur-ld-ma-sf qi-bi-ma X_5 Istar-ld-ma-si-ma sû-ba-tclm E-na-Sit-in na-cls-a-kum 12 GIN KÙ.BABBAR.u-A-nim DUMU Ha-nu X_1 12 GIN KÙ.BABBAR E-na-Si-in ub-lam ù 5 GIN a-ha-ma fit-ut-ma ub-lam i-na KÙ.BABBAR sa DUMU Ha-nu ub-ld-ni X_2 a-ba-ar-ni-um 2 ga-at-nu-tum 4 sa X_3 e-fiu-us-ma X_0 Df-tim na-ad-û,"Speak unto Assur-lamassi, Y_5 Istar-lamassi: ""Enna-Suen is bringing you one textile; Sû-Anim son Y_1 Hanu brought me 12 shekels of silver; Enna-Suen brought me 12 shekels of silver and the same Y_2 moreover separately another 5 shekels. Y_3 the Y_0 which the son of Hanu brought me, I made 1 Abarnian textile, 2 fine textiles and 4 normal textiles, and they are delivered."
338,p. sa lubûs su uïr p sa ana lubûsim dannûni,p. for clothes of the servants p which are strong enough to be used for clothes
340,si-im sâ-d-ti sa Ha-hi-im,wool from Hahhum
341,i-na GA-ar-d-ta,in G/Qarpata
343,§u-ma sa-âd-tdm i-Lu-hu-stiı-di-a,if they `take' wool in Luhusuddia
350,su-ma É kà-ri-im KÙ.BABBAR si-im sa-â~-tim is-to-pu-ku KÙ.BABBAR §u-qi-ul,"if one can deposit silver in the bit kdrim, as (advance) payment for the purchase of wool, then pay silver"
352,X_0 URUDU,Y_0 of copper
354,SÎG . HI . A sà-ni-tim,dyed wool
355,si-im SÎG . HI . A,proceeds (from the sale) of wool
356,URUDU sa ßd-si-ri,copper of the retail merchants
357,SIG . HI . A sà-am-tum,red wool
359,URUDU li-tur-ma,should be converted into copper
360,mast-ki sa-pà-tim,woollen fleeces
361,mi-šu-um 3 ta-ad-mi-qâ-ti-a a-na šé-bu-lâ-tim 4 tù-us té-né-ba-lam,why are you constantly sending my interest-free loans (away) as consignments?
362,5 GfN Kù.BABBAR sé-bu-lâ-ti-im 17 us-té-bi4-lâ-ki-na-ti,I had sent you (fem.plur.) 5 shekels of silver as consignments
363,is-té-ni-is ar-bé é-bu-lâ-tum,in all four consignments
365,kutänï sa-ßi-if-tim if é-ti-if-tim,thick and dark coloured k.
369,na-ma-§u-hi SIG5 DIRIG,10 n. of very fine quality
371,ebîßisû saßâtim,"(rough) woollen tissues, blankets"
378,a-şé-er AN.NA,To add to (on top of) his loose tin
379,qâ-ti-su I TIG bu-ra-am,he sold one burâ'um-textile
380,a-si-mi-im i-ha-ra-nim,en route
381,i-di-in 6 X_0 AN.NA,six minas Y_0 tin
382,si-im-su I X_0 KÙ.BABBAR,was its Y_0 I mina of silver
383,X_0 pâ-ni-su û-sé-bi-il,Y_0 sent to meet him
384,6 X_0 AN.NA,six Y_0 of tin
385,i-za-al pâ,in Zalpa I gave
386,a-di-sum 20 X_0,to him. Y_0 minas of
387,mi-ma a-nim a-şé-er AN.NA qâ-ti-su,"All this, on top of his loose tin"
388,6 1/2 X_1 X_0 X_1 AN.NA-ak qâ-tim,61/2 minas Y_1 Y_0 Y_1 from the loose tin
389,ma-ld i-kà-ku-du-ku-ni-ni,"I gave him 10 shekels of silver as ""pocket-money"""
392,24 TeG 5u-ru-tim 2 T[JG X_0 I ANSE sâ-la-mu-um,"24 §urumkutānum textiles, 2 kutdnumkutānum Y_0 one black donkey"
393,4 X_0 AN . NA qd-tim,"4 Y_0 of ""loose tin"""
394,X_0 a-lim aqıu-kà i p-qi-dam ik-tù,Y_0 brother entrusted to me in the City
395,a-lim1' a-di Pu-hi-tdr,From the City until Puhitar
396,X_0 X_0 . TA da-tum,Y_0 Y_0 amounted to 3 minas
397,r0 GIN . TA qd-qd-da-tim,"10 shekels each (person) the ""headšadduātum tax"""
398,r5 GIN KÙ . BABBAR a-na pé-ni-a ké-bi-lam,Send 15 shekels of silver to meet me
399,a-na lâ a-wi-lim ta-dk-ku-ni-ma,You have made me lose my prestige
400,AN . NA e-ru-am tù-a-ak-ni-ile-ma té-zi-ba-am,by leaving behind for me tin and copper in sealed condition
401,SU.NIGIN2 28⅔ ma-na X_0 GÍN 16 KÙ.BABBAR na-ad-na-tù-nu,"in all you Y_0 ""deposited"" 28 2/3 minas 8 shekels of silver"
402,X_1 ma-na.TA 17 da-tum ik-šu-ud-ma X_2 X_2 12 GÍN 18 KÙ.BABBAR to-na pá-lá 19 mi-is-lâ X_0 KÙ.BABBAR pù-ku-nu a-lá-qu,"Y_1 datum incurred amounted to Y_2 Y_2 each, so that you will have to make Y_0 balance payment of 1 mina 12 shekels of silver. I will take half of it from the silver of both of you"
403,28 ⅔ ma-na 8 GÍN KÙ.BABBAR É X_0 al pu-ut,I booked (subscribed for?) 28 2/3 minas Y_0 shekels in the bït karim
404,šu.NIGIN2 18¼ X_0 11' É X_1 alpu-ut-kà 12' 20 ma-na.TA da-tum ik-su-ud-ma 13' 1½ 2 ma-na KÙ.BABBAR ta-na-pá-al,"I booked Y_0 in the Y_1 kdrum for 18½ minas (of silver) in all. The datum incurred amounted to 20 minas each, so that you will have to make a balance payment of 1½ minas of silver"
